subject,trial,condition,block,sound_file,arousal,valence,time_bin_s,pupil_pct_change_sound_pre500to0_bin,pupil_bin_valid_ratio,pupil_bin_valid_ratio_lt50,trial_is_rejected_pupil,pupil_baseline_pre500to0,reverse_latency_main_s,mean_aligned_spv_0to2s,congruent_occupancy_0to2s,reverse_found_main,n_valid_slowphases
sub-20,52,WB,2,17.wav,2,4,2.55,2.62650467929816,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,2.65,2.3324641310974,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,2.75,3.5052070460518,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,2.85,4.694868047386,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,2.95,4.17644074360274,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,3.05,3.46846333738576,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,3.15,3.68876289034028,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,3.25,2.04841932721626,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,3.35,-0.378749239494871,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,3.45,-1.19609846222664,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,3.55,-0.233684051866787,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,3.65,1.67896936087082,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,3.75,3.36016728090638,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,3.85,5.88338252546739,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,3.95,7.82152426195036,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,4.05,9.51541278415453,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,4.15,9.94564208548697,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,4.25,6.92121201758109,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,4.35,3.98189322496203,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,4.45,1.95986393141993,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,4.55,-0.170768637570902,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,4.65,-1.60015473327435,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,4.75,-1.59817633227541,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,4.85,-0.25725238600674,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,4.95,1.56072962622156,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,5.05,1.56503983405723,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,5.15,-0.629034070590653,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,5.25,-2.16613902472078,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,5.35,-1.54712106751702,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,5.45,1.1936804483517,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,5.55,3.15056887734834,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,5.65,4.18974097323428,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,5.75,5.37762790872928,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,5.85,5.25164887644969,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,5.95,4.94314435816644,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,53,WB,2,19.wav,4,5,0.05,-3.21789925990738,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,0.15,-3.57094343374753,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,0.25,-3.59995220446642,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,0.35,-2.95486140195273,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,0.45,-1.69334604569086,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,0.55,-1.0217556206996,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,0.65,-2.76934176829303,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,0.75,-5.23837823274637,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,0.85,-6.37160743306449,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
